index,date,domain,IP,DNS
0,2018-01-26 02:01:05.087553+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
1,2018-01-26 03:01:05.215801+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
2,2018-01-26 04:01:05.349142+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
3,2018-01-26 05:01:05.449717+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
4,2018-01-26 06:01:05.527055+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
5,2018-01-26 07:01:05.649007+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
6,2018-01-26 08:01:05.781205+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
7,2018-01-26 09:01:05.865900+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
8,2018-01-26 10:01:05.960310+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
9,2018-01-26 11:01:06.071833+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
10,2018-01-26 12:01:06.197230+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
11,2018-01-26 13:01:06.297754+09:00,fl0ckfl0ck.info,120.50.131.112,8.8.8.8
12,2018-01-26 14:01:06.427484+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
13,2018-01-26 15:01:06.504581+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
14,2018-01-26 16:01:06.624341+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
15,2018-01-26 17:01:06.727329+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
16,2018-01-26 18:01:06.940927+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
17,2018-01-26 19:01:07.025322+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
18,2018-01-26 20:01:07.146579+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
19,2018-01-26 21:01:07.295755+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
20,2018-01-26 22:01:07.350137+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
21,2018-01-26 23:01:07.461716+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
22,2018-01-27 00:01:07.587370+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
23,2018-01-27 01:01:07.697391+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
24,2018-01-27 02:01:07.812632+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
25,2018-01-27 03:01:07.854111+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
26,2018-01-27 04:01:08.034419+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
27,2018-01-27 05:01:08.119462+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
28,2018-01-27 06:01:08.227285+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
29,2018-01-27 07:01:08.326106+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
30,2018-01-27 08:01:08.464116+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
31,2018-01-27 09:01:08.533154+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
32,2018-01-27 10:01:08.639510+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
33,2018-01-27 11:01:08.750358+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
34,2018-01-27 12:01:08.857110+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
35,2018-01-27 13:01:09.007849+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
36,2018-01-27 14:01:09.086107+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
37,2018-01-27 15:01:09.186386+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
38,2018-01-27 16:01:09.279534+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
39,2018-01-27 17:01:09.405473+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
40,2018-01-27 18:01:09.524857+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
41,2018-01-27 19:01:09.640680+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
42,2018-01-27 20:01:09.712260+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
43,2018-01-27 21:01:09.843841+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
44,2018-01-27 22:01:10.076108+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
45,2018-01-27 23:01:10.139837+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
46,2018-01-28 00:01:10.208126+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
47,2018-01-28 01:01:10.352173+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
48,2018-01-28 02:01:10.465227+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
49,2018-01-28 03:01:10.542878+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
50,2018-01-28 04:01:10.746915+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
